break_angle,min_break_mass,merge_angle,debounce_ms,jaccard_threshold,break_method,angle_map,min_resolution_ratio,max_anchor_size,maturity_grace_ms,bass_multiplier,tp,fp,fn,total_errors,precision,recall,f1,n_bounds,n_markers
35,0.75,20,100,0.375,hybrid,dissonance,0.4,6,0,1.0,89,17,27,44,84.0,76.7,80.18,106,116
35,0.75,20,100,0.375,hybrid,dissonance,0.4,6,100,1.0,89,17,27,44,84.0,76.7,80.18,106,116
35,0.75,20,100,0.375,hybrid,dissonance,0.4,12,0,1.0,89,17,27,44,84.0,76.7,80.18,106,116
35,0.75,20,100,0.375,hybrid,dissonance,0.4,12,100,1.0,89,17,27,44,84.0,76.7,80.18,106,116
35,0.75,20,100,0.375,hybrid,dissonance,0.6,6,0,1.0,89,17,27,44,84.0,76.7,80.18,106,116
35,0.75,20,100,0.375,hybrid,dissonance,0.6,6,100,1.0,89,17,27,44,84.0,76.7,80.18,106,116
35,0.75,20,100,0.375,hybrid,dissonance,0.6,12,0,1.0,89,17,27,44,84.0,76.7,80.18,106,116
35,0.75,20,100,0.375,hybrid,dissonance,0.6,12,100,1.0,89,17,27,44,84.0,76.7,80.18,106,116
25,0.75,20,100,0.375,hybrid,dissonance,0.4,6,0,1.0,91,19,25,44,82.7,78.4,80.53,110,116
25,0.75,20,100,0.375,hybrid,dissonance,0.4,6,100,1.0,91,19,25,44,82.7,78.4,80.53,110,116
25,0.75,20,100,0.375,hybrid,dissonance,0.4,12,0,1.0,91,19,25,44,82.7,78.4,80.53,110,116
25,0.75,20,100,0.375,hybrid,dissonance,0.4,12,100,1.0,91,19,25,44,82.7,78.4,80.53,110,116
25,0.75,20,100,0.375,hybrid,dissonance,0.6,6,0,1.0,91,19,25,44,82.7,78.4,80.53,110,116
25,0.75,20,100,0.375,hybrid,dissonance,0.6,6,100,1.0,91,19,25,44,82.7,78.4,80.53,110,116
25,0.75,20,100,0.375,hybrid,dissonance,0.6,12,0,1.0,91,19,25,44,82.7,78.4,80.53,110,116
25,0.75,20,100,0.375,hybrid,dissonance,0.6,12,100,1.0,91,19,25,44,82.7,78.4,80.53,110,116
25,0.75,20,100,0.25,hybrid,dissonance,0.4,6,150,1.0,85,14,31,45,85.9,73.3,79.07,99,116
25,0.75,20,100,0.25,hybrid,dissonance,0.4,6,200,1.0,85,14,31,45,85.9,73.3,79.07,99,116
25,0.75,20,100,0.25,hybrid,dissonance,0.4,12,150,1.0,85,14,31,45,85.9,73.3,79.07,99,116
25,0.75,20,100,0.25,hybrid,dissonance,0.4,12,200,1.0,85,14,31,45,85.9,73.3,79.07,99,116
25,0.75,20,100,0.25,hybrid,dissonance,0.6,6,150,1.0,85,14,31,45,85.9,73.3,79.07,99,116
25,0.75,20,100,0.25,hybrid,dissonance,0.6,6,200,1.0,85,14,31,45,85.9,73.3,79.07,99,116
25,0.75,20,100,0.25,hybrid,dissonance,0.6,12,150,1.0,85,14,31,45,85.9,73.3,79.07,99,116
25,0.75,20,100,0.25,hybrid,dissonance,0.6,12,200,1.0,85,14,31,45,85.9,73.3,79.07,99,116
25,0.75,20,100,0.25,hybrid,dissonance,0.4,6,0,1.0,86,15,30,45,85.1,74.1,79.26,101,116
25,0.75,20,100,0.25,hybrid,dissonance,0.4,6,100,1.0,86,15,30,45,85.1,74.1,79.26,101,116
25,0.75,20,100,0.25,hybrid,dissonance,0.4,12,0,1.0,86,15,30,45,85.1,74.1,79.26,101,116
25,0.75,20,100,0.25,hybrid,dissonance,0.4,12,100,1.0,86,15,30,45,85.1,74.1,79.26,101,116
25,0.75,20,100,0.25,hybrid,dissonance,0.6,6,0,1.0,86,15,30,45,85.1,74.1,79.26,101,116
25,0.75,20,100,0.25,hybrid,dissonance,0.6,6,100,1.0,86,15,30,45,85.1,74.1,79.26,101,116
25,0.75,20,100,0.25,hybrid,dissonance,0.6,12,0,1.0,86,15,30,45,85.1,74.1,79.26,101,116
25,0.75,20,100,0.25,hybrid,dissonance,0.6,12,100,1.0,86,15,30,45,85.1,74.1,79.26,101,116
35,0.75,20,100,0.375,hybrid,dissonance,0.4,6,150,1.0,86,15,30,45,85.1,74.1,79.26,101,116
35,0.75,20,100,0.375,hybrid,dissonance,0.4,6,200,1.0,86,15,30,45,85.1,74.1,79.26,101,116
35,0.75,20,100,0.375,hybrid,dissonance,0.4,12,150,1.0,86,15,30,45,85.1,74.1,79.26,101,116
