break_angle,min_break_mass,merge_angle,debounce_ms,jaccard_threshold,break_method,angle_map,tp,fp,fn,total_errors,precision,recall,f1,n_bounds,n_markers
25,0.75,20,100,0.25,hybrid,dissonance,91,29,25,54,75.8,78.4,77.12,120,116
35,0.75,20,100,0.375,hybrid,dissonance,90,29,26,55,75.6,77.6,76.6,119,116
35,0.75,20,100,0.25,hybrid,dissonance,88,28,28,56,75.9,75.9,75.86,116,116
25,0.75,20,100,0.375,hybrid,dissonance,92,33,24,57,73.6,79.3,76.35,125,116
25,0.75,20,100,0.125,hybrid,dissonance,85,27,31,58,75.9,73.3,74.56,112,116
55,0.75,25,100,0.5,hybrid,dissonance,86,28,30,58,75.4,74.1,74.78,114,116
65,0.75,25,100,0.5,hybrid,dissonance,86,28,30,58,75.4,74.1,74.78,114,116
15,0.75,20,100,0.125,hybrid,dissonance,90,32,26,58,73.8,77.6,75.63,122,116
15,0.75,10,100,0.125,hybrid,dissonance,91,33,25,58,73.4,78.4,75.83,124,116
15,0.75,5,100,0.125,hybrid,dissonance,92,34,24,58,73.0,79.3,76.03,126,116
15,0.75,20,100,0.5,hybrid,dissonance,96,38,20,58,71.6,82.8,76.8,134,116
25,0.75,25,100,0.25,hybrid,dissonance,87,30,29,59,74.4,75.0,74.68,117,116
25,0.75,30,100,0.25,hybrid,dissonance,87,30,29,59,74.4,75.0,74.68,117,116
55,0.75,30,100,0.5,hybrid,dissonance,87,30,29,59,74.4,75.0,74.68,117,116
65,0.75,30,100,0.5,hybrid,dissonance,87,30,29,59,74.4,75.0,74.68,117,116
15,0.75,15,100,0.125,hybrid,dissonance,88,31,28,59,73.9,75.9,74.89,119,116
45,0.75,20,100,0.5,hybrid,dissonance,89,32,27,59,73.6,76.7,75.11,121,116
15,0.75,20,100,0.25,hybrid,dissonance,92,35,24,59,72.4,79.3,75.72,127,116
35,0.75,20,100,0.5,hybrid,dissonance,93,36,23,59,72.1,80.2,75.92,129,116
15,0.75,20,100,0.375,hybrid,dissonance,94,37,22,59,71.8,81.0,76.11,131,116
25,0.75,20,100,0.5,hybrid,dissonance,94,37,22,59,71.8,81.0,76.11,131,116
55,0.75,20,100,0.5,hybrid,dissonance,86,30,30,60,74.1,74.1,74.14,116,116
65,0.75,20,100,0.5,hybrid,dissonance,86,30,30,60,74.1,74.1,74.14,116,116
45,0.75,25,100,0.5,hybrid,dissonance,88,32,28,60,73.3,75.9,74.58,120,116
15,0.75,25,100,0.125,hybrid,dissonance,90,34,26,60,72.6,77.6,75.0,124,116
15,0.75,30,100,0.125,hybrid,dissonance,90,34,26,60,72.6,77.6,75.0,124,116
45,0.75,30,100,0.5,hybrid,dissonance,90,34,26,60,72.6,77.6,75.0,124,116
25,0.75,20,100,0.25,hybrid_split,dissonance,92,36,24,60,71.9,79.3,75.41,128,116
25,0.75,15,100,0.5,hybrid,dissonance,94,38,22,60,71.2,81.0,75.81,132,116
15,0.75,15,100,0.5,hybrid,dissonance,95,39,21,60,70.9,81.9,76.0,134,116
15,0.75,25,100,0.5,hybrid,dissonance,96,40,20,60,70.6,82.8,76.19,136,116
15,0.75,30,100,0.5,hybrid,dissonance,96,40,20,60,70.6,82.8,76.19,136,116
25,0.75,25,100,0.125,hybrid,dissonance,82,27,34,61,75.2,70.7,72.89,109,116
25,0.75,30,100,0.125,hybrid,dissonance,82,27,34,61,75.2,70.7,72.89,109,116
45,0.75,20,100,0.375,hybrid,dissonance,83,28,33,61,74.8,71.6,73.13,111,116
15,0.75,15,100,0.25,hybrid,dissonance,91,36,25,61,71.7,78.4,74.9,127,116
15,0.75,25,100,0.25,hybrid,dissonance,92,37,24,61,71.3,79.3,75.1,129,116
15,0.75,30,100,0.25,hybrid,dissonance,92,37,24,61,71.3,79.3,75.1,129,116
25,0.75,25,100,0.25,hybrid_split,dissonance,92,37,24,61,71.3,79.3,75.1,129,116
25,0.75,30,100,0.25,hybrid_split,dissonance,92,37,24,61,71.3,79.3,75.1,129,116
15,0.75,15,100,0.375,hybrid,dissonance,93,38,23,61,71.0,80.2,75.3,131,116
15,0.75,25,100,0.375,hybrid,dissonance,94,39,22,61,70.7,81.0,75.5,133,116
15,0.75,30,100,0.375,hybrid,dissonance,94,39,22,61,70.7,81.0,75.5,133,116
55,0.75,30,100,0.625,hybrid,dissonance,96,41,20,61,70.1,82.8,75.89,137,116
65,0.75,30,100,0.625,hybrid,dissonance,96,41,20,61,70.1,82.8,75.89,137,116
35,0.75,25,100,0.375,hybrid,dissonance,87,33,29,62,72.5,75.0,73.73,120,116
35,0.75,30,100,0.375,hybrid,dissonance,87,33,29,62,72.5,75.0,73.73,120,116
25,0.75,25,100,0.375,hybrid,dissonance,89,35,27,62,71.8,76.7,74.17,124,116
25,0.75,30,100,0.375,hybrid,dissonance,89,35,27,62,71.8,76.7,74.17,124,116
25,0.75,15,100,0.375,hybrid,dissonance,91,37,25,62,71.1,78.4,74.59,128,116
15,0.75,10,100,0.25,hybrid,dissonance,92,38,24,62,70.8,79.3,74.8,130,116
45,0.75,20,100,0.625,hybrid,dissonance,96,42,20,62,69.6,82.8,75.59,138,116
55,0.75,20,100,0.625,hybrid,dissonance,96,42,20,62,69.6,82.8,75.59,138,116
55,0.75,25,100,0.625,hybrid,dissonance,96,42,20,62,69.6,82.8,75.59,138,116
65,0.75,20,100,0.625,hybrid,dissonance,96,42,20,62,69.6,82.8,75.59,138,116
65,0.75,25,100,0.625,hybrid,dissonance,96,42,20,62,69.6,82.8,75.59,138,116
25,0.75,5,100,0.125,hybrid,dissonance,82,29,34,63,73.9,70.7,72.25,111,116
45,0.75,30,100,0.375,hybrid,dissonance,83,30,33,63,73.5,71.6,72.49,113,116
25,0.75,15,100,0.25,hybrid,dissonance,88,35,28,63,71.5,75.9,73.64,123,116
35,0.75,15,100,0.5,hybrid,dissonance,90,37,26,63,70.9,77.6,74.07,127,116
15,0.75,5,100,0.25,hybrid,dissonance,91,38,25,63,70.5,78.4,74.29,129,116
15,0.75,5,100,0.375,hybrid,dissonance,93,40,23,63,69.9,80.2,74.7,133,116
15,0.75,10,100,0.375,hybrid,dissonance,93,40,23,63,69.9,80.2,74.7,133,116
25,0.75,25,100,0.5,hybrid,dissonance,93,40,23,63,69.9,80.2,74.7,133,116
25,0.75,30,100,0.5,hybrid,dissonance,93,40,23,63,69.9,80.2,74.7,133,116
15,0.75,10,100,0.125,hybrid_split,dissonance,94,41,22,63,69.6,81.0,74.9,135,116
15,0.75,10,100,0.5,hybrid,dissonance,95,42,21,63,69.3,81.9,75.1,137,116
55,0.75,25,100,0.375,hybrid,dissonance,77,25,39,64,75.5,66.4,70.64,102,116
55,0.75,30,100,0.375,hybrid,dissonance,77,25,39,64,75.5,66.4,70.64,102,116
55,0.75,20,100,0.375,hybrid,dissonance,79,27,37,64,74.5,68.1,71.17,106,116
65,0.75,20,100,0.375,hybrid,dissonance,79,27,37,64,74.5,68.1,71.17,106,116
35,0.75,25,100,0.25,hybrid,dissonance,83,31,33,64,72.8,71.6,72.17,114,116
35,0.75,15,100,0.375,hybrid,dissonance,85,33,31,64,72.0,73.3,72.65,118,116
35,0.75,25,100,0.5,hybrid,dissonance,91,39,25,64,70.0,78.4,73.98,130,116
25,0.75,10,100,0.5,hybrid,dissonance,93,41,23,64,69.4,80.2,74.4,134,116
15,0.75,20,100,0.25,hybrid_split,dissonance,94,42,22,64,69.1,81.0,74.6,136,116
15,0.75,5,100,0.5,hybrid,dissonance,95,43,21,64,68.8,81.9,74.8,138,116
45,0.75,30,100,0.625,hybrid,dissonance,95,43,21,64,68.8,81.9,74.8,138,116
35,0.75,20,100,0.625,hybrid,dissonance,96,44,20,64,68.6,82.8,75.0,140,116
15,0.75,5,100,0.125,hybrid_split,dissonance,97,45,19,64,68.3,83.6,75.19,142,116
55,0.75,30,75,0.5,hybrid,dissonance,99,47,17,64,67.8,85.3,75.57,146,116
55,0.75,25,75,0.5,hybrid,dissonance,101,49,15,64,67.3,87.1,75.94,150,116
65,0.75,25,75,0.5,hybrid,dissonance,101,49,15,64,67.3,87.1,75.94,150,116
65,0.75,30,100,0.375,hybrid,dissonance,75,24,41,65,75.8,64.7,69.77,99,116
35,0.75,15,100,0.25,hybrid,dissonance,80,29,36,65,73.4,69.0,71.11,109,116
25,0.75,10,100,0.125,hybrid,dissonance,81,30,35,65,73.0,69.8,71.37,111,116
45,0.75,25,100,0.375,hybrid,dissonance,81,30,35,65,73.0,69.8,71.37,111,116
25,0.75,20,100,0.125,hybrid_split,dissonance,85,34,31,65,71.4,73.3,72.34,119,116
25,0.75,25,100,0.125,hybrid_split,dissonance,85,34,31,65,71.4,73.3,72.34,119,116
25,0.75,30,100,0.125,hybrid_split,dissonance,85,34,31,65,71.4,73.3,72.34,119,116
15,0.75,20,100,0.125,hybrid_split,dissonance,90,39,26,65,69.8,77.6,73.47,129,116
15,0.75,25,100,0.25,hybrid_split,dissonance,95,44,21,65,68.3,81.9,74.51,139,116
15,0.75,30,100,0.25,hybrid_split,dissonance,95,44,21,65,68.3,81.9,74.51,139,116
45,0.75,25,100,0.625,hybrid,dissonance,95,44,21,65,68.3,81.9,74.51,139,116
15,0.75,10,100,0.25,hybrid_split,dissonance,96,45,20,65,68.1,82.8,74.71,141,116
65,0.75,30,75,0.5,hybrid,dissonance,98,47,18,65,67.6,84.5,75.1,145,116
65,0.75,25,100,0.375,hybrid,dissonance,75,25,41,66,75.0,64.7,69.44,100,116
35,0.75,30,100,0.25,hybrid,dissonance,81,31,35,66,72.3,69.8,71.05,112,116
25,0.75,5,100,0.25,hybrid,dissonance,82,32,34,66,71.9,70.7,71.3,114,116
25,0.75,10,100,0.25,hybrid,dissonance,84,34,32,66,71.2,72.4,71.79,118,116
25,0.75,5,100,0.375,hybrid,dissonance,87,37,29,66,70.2,75.0,72.5,124,116
25,0.75,10,100,0.375,hybrid,dissonance,87,37,29,66,70.2,75.0,72.5,124,116
